"馬德鐘、宣　萱、江芷妮、石　修、
羅敏莊、歐倩怡、陳國邦、曾偉權、
程可為",烽火奇遇結良緣,2004,0,古裝,黃偉聲,20
鄭少秋、汪明荃、林　峯、楊思琦,血薦軒轅,2004,0,古裝武俠,戚其義,37
"謝君豪、胡杏兒、吳美珩、陳敏之、
李彩華、馬國明、黎諾懿、單立文",下一站彩虹,2004,0,時裝都市,唐基明,20
"郭藹明、黃宗澤、文頌嫻、麥長青、
黎耀祥、許紹雄、陳思齊、陳國邦",足秤老婆八両夫,2004,0,清末民初喜劇,張乾文,20
"馬德鐘、宣　萱、羅敏莊、李思捷、
李逸朗、廖啟智、陳秀珠、單立文",一屋兩家三姓人,2004,0,時裝家族,潘嘉德,20
"林　峯、吳卓羲、楊　怡、唐　寧、
李子雄、伍詠薇、李　倩、毛華鋒、
阮德鏘、翁　虹、曾偉權、胡定欣",大唐雙龍傳,2004,0,古裝武俠,莊偉建,42
"歐陽震華、陶大宇、郭可盈、秦　沛、
楊思琦、趙頌茹、周永恆、嘉碧儀",青出於藍,2004,0,時裝校園,梅小青,30
"鄭少秋、江　華、張可頤、吳美珩、
黎耀祥、蔣志光",楚漢驕雄,2004,0,秦末漢初,李添勝,30集
"薛家燕、林文龍、謝天華、陳彥行、
苑瓊丹、趙學而、阮兆祥、林漪娸、
梅小惠、鄧兆尊、廖碧兒、劉　丹、
車婉婉、李國麟、顏國樑、馬海倫、
于　洋、陳曼娜、林敬剛、劉愷威、
羅浩楷、鍾嘉欣、馬浚偉、蕭　亮",皆大歡喜,2004,1,處境喜劇,徐遇安,443
"方中信、佘詩曼、錢嘉樂、蔣志光、
向海嵐",花樣中年,2004,2,時裝,羅永賢,20
"溫兆倫、楊　怡、陳鍵鋒、關禮傑
蔣雅文、成奎安",怪俠一枝梅,2004,2,古裝特技,張乾文,20
"歐陽震華、蔡少芬、滕麗名、魏駿傑、
林文龍、蒙嘉慧",陀槍師姐IV,2004,2,時裝警匪,鄺業生,40
"陳慧珊、劉松仁、鄭嘉穎、周麗淇、
夏　雨、邵美琪、歐錦棠、劉愷威",翡翠戀曲,2004,2,時裝懸疑愛情,王心慰,30
"佘詩曼、郭羨妮、楊思琦、譚耀文、
洪天明、林韋辰",無名天使3D,2004,2,時裝警匪,羅永賢,20
"郭晉安、陳慧珊、鄧健泓、江芷妮、
許紹雄、石　修、商天娥",隔世追兇,2004,2,時裝警匪,林志華,22
"黃子華、蔡少芬、唐文龍、魏駿傑、
蔣志光、雪　妮、胡　楓、韓君婷",棟篤神探,2004,2,時裝懸疑喜劇,徐正康,25
"張可頤、黎　姿、佘詩曼、鄧萃雯、
林保怡、陳　豪、梁　琤、陳秀珠、
陳霽平、黃德斌、韋家雄、陳鴻烈",金枝慾孽,2004,2,清裝宮廷,戚其義,30
"方中信、鄭嘉穎、譚耀文、蒙嘉慧、
魏駿傑、陳　豪、曹敏莉、黎諾懿、
姚嘉妮、袁彩雲、李思捷、劉　江",爭分奪秒,2004,2,時裝警匪,羅永賢,30
"張家輝、林　峯、郭羨妮、唐　寧、
黃宗澤、羅敏莊、陳敏之、李子雄、
商天娥、連　凱
特別演出：
梁詠琪、盧巧音、鍾景輝、馬國明",天涯俠醫,2004,2,時裝醫務,林志華,30
張智霖、王　喜、黎　姿、楊　怡,水滸無間道,2004,2,時裝警匪,蕭顯輝,25
"楊秀惠、李思欣、陳自瑤、
司徒瑞祈、蔡淇浚",赤沙印記@四葉草.2,2004,3,時裝青春偶像,錢國偉,13
"黃宗澤、姜大偉、李彩華、
嘉碧儀、陳鍵鋒、馬國明",我師傅係黃飛鴻,2005,0,清裝武打,黃偉聲,25
吳卓羲、胡杏兒、葉璇、馬國明,西廂奇緣,2005,0,古裝愛情,張乾文,20
"鄭少秋、鄧萃雯、滕麗名、魏駿傑、
吳家樂、楊　怡、蔣志光、劉家輝",御用閒人,2005,0,清裝,徐正康,20
"郭晉安、馬國明、胡杏兒、江芷妮、
黎耀祥、黃泆潼、秦　煌、盧宛茵",同撈同煲,2005,0,懷舊喜劇,關永忠,20
"宣　萱、陳錦鴻、王　傑、鄧健泓、
李思捷、李詩韻、袁彩雲、唐詩詠",老婆大人,2005,0,時裝家庭,莊偉建,20
"馬德鐘、胡杏兒、陳文媛、胡諾言、
文頌嫻、盧海鵬、劉家輝、李　楓",情迷黑森林,2005,0,時裝溫情,林志華,20
"陶大宇、黎耀祥、吳美珩、唐文龍、
湯盈盈、胡　楓",開心賓館,2005,0,時裝喜劇,李添勝,20
"鄭嘉穎、林　峯、佘詩曼、楊　怡、
楊志龍、謝韻怡",Yummy Yummy,2005,0,時裝愛情,王心慰,30
"歐陽震華、郭羨妮、向海嵐、黎耀祥、
楊思琦、蔡子健",翻新大少,2005,0,時裝,鄺業生,30 (TvbE/海外) ； 25 (翡翠台)
"黎　姿、陳　豪、蒙嘉慧、向海嵐、
曹敏莉、商天娥、陳敏之、陳鴻烈",胭脂水粉,2005,0,民初、家庭倫理,梅小青,30
林文龍、葉　璇、馬國明、李詩韻,本草藥王,2005,0,古裝醫學,黃偉聲,25
"劉愷威、鍾景輝、方力申、楊思琦、
夏　雨、陳秀珠、陳宇琛",甜孫爺爺,2005,1,時裝溫情,王心慰,20
"陶大宇、郭可盈、陳　豪、
廖碧兒、向海嵐、秦　沛",心花放,2005,1,時裝愛情,梅小青,30
"吳卓羲、陳鍵鋒、薛凱琪、楊　怡、
苗僑偉、錢嘉樂、米　雪、吳浩康",學警雄心,2005,1,時裝警隊,黃偉聲,32
"陳　豪、周麗淇、米　雪、黎耀祥、
譚小環、高　雄、歐倩怡、李思捷",秀才遇着兵,2005,1,古裝探案,劉家豪,20
